relative_jpg,requested_utc,returned_utc,offset_seconds,helioviewer_id,jp2_sha256,status,reason
2015/02/23/HMI.m2015.02.23_20.00.00.jpg,2015-02-23T20:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/24/HMI.m2015.02.24_16.00.00.jpg,2015-02-24T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/25/HMI.m2015.02.25_08.00.00.jpg,2015-02-25T08:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/25/HMI.m2015.02.25_17.00.00.jpg,2015-02-25T17:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/26/HMI.m2015.02.26_03.00.00.jpg,2015-02-26T03:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/26/HMI.m2015.02.26_05.00.00.jpg,2015-02-26T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/26/HMI.m2015.02.26_15.00.00.jpg,2015-02-26T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/27/HMI.m2015.02.27_00.00.00.jpg,2015-02-27T00:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/27/HMI.m2015.02.27_02.00.00.jpg,2015-02-27T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/28/HMI.m2015.02.28_03.00.00.jpg,2015-02-28T03:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/28/HMI.m2015.02.28_11.00.00.jpg,2015-02-28T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/02/28/HMI.m2015.02.28_13.00.00.jpg,2015-02-28T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/01/HMI.m2015.03.01_02.00.00.jpg,2015-03-01T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/01/HMI.m2015.03.01_11.00.00.jpg,2015-03-01T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
