relative_jpg,requested_utc,returned_utc,offset_seconds,helioviewer_id,jp2_sha256
2012/08/26/HMI.m2012.08.26_06.00.00.jpg,2012-08-26T06:00:00Z,2012-08-26 05:59:53Z,7,99815718,c03cd14a7feedf247809b0729b2ff391764bf95e4b2015969e887a819ffb0763
2012/08/30/HMI.m2012.08.30_05.00.00.jpg,2012-08-30T05:00:00Z,2012-08-30 04:59:52Z,8,99830437,24afa8a0ad50962c542811617044d2972f536dcd34360e2d37437b626e4e75c4
2012/09/06/HMI.m2012.09.06_04.00.00.jpg,2012-09-06T04:00:00Z,2012-09-06 03:59:52Z,8,99854235,6003568dce32cbd351a08772212304c154537aba8d4a4b1054d5cae6d9add59c
2012/10/07/HMI.m2012.10.07_18.00.00.jpg,2012-10-07T18:00:00Z,2012-10-07 17:59:47Z,13,99935589,3144b19f7f5c6733fd7197eb88b924b1bd02b8fafeae8f90c02ddb85817a64bb
2012/11/30/HMI.m2012.11.30_00.00.00.jpg,2012-11-30T00:00:00Z,2012-11-29 23:59:41Z,19,100098966,f145846ee818b63bb960ba0cecb0d218897682dd35a7a2a1b527b4648fafbc2c
2012/12/30/HMI.m2012.12.30_01.00.00.jpg,2012-12-30T01:00:00Z,2012-12-30 00:59:39Z,21,100215107,518aa610897c4caaf4ccaf5ab1a23ee2b3e826badc83667bb98d0560f4489edb
2013/03/09/HMI.m2013.03.09_00.00.00.jpg,2013-03-09T00:00:00Z,2013-03-08 23:59:44Z,16,100606808,ac8a7ae08d4d65175c56986217ad6c9ba5b27b180ad5644d96962edf8372c0e9
2013/04/18/HMI.m2013.04.18_04.00.00.jpg,2013-04-18T04:00:00Z,2013-04-18 03:59:50Z,10,100722024,065fc7405117c1149f7910d9bc59bb78db01f0e3e03131271695cdfdbc55608d
2013/05/14/HMI.m2013.05.14_14.00.00.jpg,2013-05-14T14:00:00Z,2013-05-14 13:59:53Z,7,100810159,f1144167d07c812b4e95200b9a9683c0fded56891c39d82c9ae482eac3b42cc2
2013/07/01/HMI.m2013.07.01_13.00.00.jpg,2013-07-01T13:00:00Z,2013-07-01 12:59:56Z,4,100960582,dcbbec8e19182348ade332d16ec3c278cdda14471ac23458badeaa51d8072d02
2013/07/22/HMI.m2013.07.22_05.00.00.jpg,2013-07-22T05:00:00Z,2013-07-22 04:59:56Z,4,101015148,832b7e98c00d839371cdb207bed5a9aee6e7b8bcb5b3e18f222522b6e990309e
2013/08/12/HMI.m2013.08.12_08.00.00.jpg,2013-08-12T08:00:00Z,2013-08-12 07:59:54Z,6,101090537,8080db301b8580ed577689a7fcf924f115879a0df1a24e3f8c0721cf36693e8a
2013/09/25/HMI.m2013.09.25_02.00.00.jpg,2013-09-25T02:00:00Z,2013-09-25 01:59:49Z,11,101204983,ca72eafb48b342bb7985b3ff802c2c1c559bc0099cd3f67513ddf454133d4d1a
2013/10/07/HMI.m2013.10.07_04.00.00.jpg,2013-10-07T04:00:00Z,2013-10-07 03:59:47Z,13,101249708,8de91dc45652d262c3802e16fadbc1be4807dddfe60ed9f169d83371a7fa317d
2014/02/09/HMI.m2014.02.09_05.00.00.jpg,2014-02-09T05:00:00Z,2014-02-09 04:59:41Z,19,101650888,76f2294ae2457aa2965af60ab57b143bd33d98f093b9f101d360878d03e32b73
2014/02/23/HMI.m2014.02.23_19.00.00.jpg,2014-02-23T19:00:00Z,2014-02-23 18:59:42Z,18,101703715,d32829f565e657b22237af449471f3183b6fd6b14be86297af8f68917922cfb2
2014/05/27/HMI.m2014.05.27_03.00.00.jpg,2014-05-27T03:00:00Z,2014-05-27 02:59:54Z,6,102033971,3ac8193612a1f5cb42170bf0bd83a9c6db7711afdbb1d17c8d834bc148b70713
2014/07/08/HMI.m2014.07.08_12.00.00.jpg,2014-07-08T12:00:00Z,2014-07-08 11:59:56Z,4,102157263,2f0fac9db96180f8624d98cff8635052229d1236672a5ae37be342954c25acbc
2014/07/17/HMI.m2014.07.17_08.00.00.jpg,2014-07-17T08:00:00Z,2014-07-17 07:59:56Z,4,102183474,ec5a041d3c5163a6a00d5830c7008e6dc37fb584c7ce0bcda61a2708834c0acd
2014/08/01/HMI.m2014.08.01_17.00.00.jpg,2014-08-01T17:00:00Z,2014-08-01 16:59:55Z,5,102231947,55c21bc96b74fa7849ee504796ef2683dd1c794207eac0516fadcf2aba355e1b
2014/09/26/HMI.m2014.09.26_09.00.00.jpg,2014-09-26T09:00:00Z,2014-09-26 08:59:49Z,11,102434780,db3a8c233f41b9379907f39a2db5d423579e1f216e9df6886e52f78df5e74157
2014/10/21/HMI.m2014.10.21_04.00.00.jpg,2014-10-21T04:00:00Z,2014-10-21 03:59:45Z,15,102529646,ed85346c562ecbe7c35a93096e8465f846e5e15db4c9140a5f57f32fa3d78acc
