global_epoch,training_stage,stage_epoch,train_accuracy,train_precision,train_recall,train_f1,train_tss,train_hss,train_tp,train_tn,train_fp,train_fn,train_loss,train_classification_loss,train_ewc_loss,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tss,holdout_hss,holdout_tp,holdout_tn,holdout_fp,holdout_fn,holdout_loss,learning_rate,epoch_seconds
28,1,28,0.8305195512471408,0.8557027312155667,0.7951203572595578,0.8242999096657634,0.6610391024942817,0.6610391024942817,7300,7950,1231,1881,0.3667258641621397,0.3667258641621397,0.0,0.8691817736403724,0.467680608365019,0.492,0.47953216374269003,0.41383137911781126,0.40477623417178843,123,1651,140,127,0.3465380802903907,0.001,23.21122227795422
29,1,29,0.8367824855680209,0.8629960084526884,0.8006753077006862,0.8306683993445958,0.6735649711360419,0.6735649711360419,7351,8014,1167,1830,0.3608731349599269,0.3608731349599269,0.0,0.8304752572268496,0.3862559241706161,0.652,0.48511904761904756,0.507388051367951,0.3915085235301822,163,1532,259,87,0.476393198599014,0.001,23.142488163895905
30,1,30,0.8353665178085176,0.8588578088578088,0.8026358784446139,0.8297956196160127,0.6707330356170352,0.6707330356170352,7369,7970,1211,1812,0.3590109431851392,0.3590109431851392,0.0,0.8108770210681039,0.34545454545454546,0.608,0.4405797101449275,0.44719597989949744,0.33700864267140174,152,1503,288,98,0.4707653265791393,0.001,23.092836401425302
31,2,1,0.7570764462809917,0.7873224800831313,0.7044421487603306,0.7435799574723297,0.5141528925619835,0.5141528925619835,6819,7838,1842,2861,0.5117252126705548,0.5113992486118285,0.0003259646387944914,0.8929460580912864,0.328,0.19069767441860466,0.2411764705882353,0.1524288817078985,0.18790570103833346,41,2111,84,174,0.3833155859431785,0.001,25.19606392364949
32,2,2,0.774948347107438,0.8103790087463557,0.7178719008264463,0.7613256642015888,0.549896694214876,0.5498966942148761,6949,8054,1626,2731,0.46839716749743,0.46761731461059947,0.0007798529773650399,0.9095435684647303,0.36363636363636365,0.018604651162790697,0.035398230088495575,0.015415585103565185,0.02694793769562721,4,2188,7,211,0.3102873016427043,0.001,24.74843326304108
33,2,3,0.7876033057851239,0.8206634416033172,0.7360537190082644,0.7760592528047053,0.5752066115702479,0.5752066115702479,7125,8123,1557,2555,0.4503754757652598,0.44941282134410765,0.0009626546399359984,0.9062240663900415,0.3333333333333333,0.05116279069767442,0.08870967741935484,0.04114001165439424,0.06654784143687124,11,2173,22,204,0.28488061960431055,0.001,24.66021974850446
34,2,4,0.790857438016529,0.822250200297585,0.7421487603305785,0.7801487755877723,0.5817148760330578,0.5817148760330578,7184,8127,1553,2496,0.44423904074125053,0.44309140345281806,0.0011476389986793858,0.8485477178423236,0.2754491017964072,0.42790697674418604,0.33515482695810567,0.31765640726810407,0.25419891985383264,92,1953,242,123,0.49124811798705104,0.001,24.717358654364944
35,2,5,0.796642561983471,0.8237681813056714,0.7547520661157024,0.7877513612593672,0.5932851239669421,0.5932851239669421,7306,8117,1563,2374,0.42923492646414385,0.42790450438980226,0.0013304227405066087,0.5485477178423237,0.12010443864229765,0.641860465116279,0.2023460410557185,0.1812682099909943,0.06125298495974108,138,1184,1011,77,0.6940353955965319,0.001,24.600703756324947
36,2,6,0.8034607438016529,0.8294269373107548,0.7640495867768595,0.7953971070602786,0.6069214876033058,0.6069214876033058,7396,8159,1521,2284,0.4240765191799353,0.422566209450241,0.0015103095592084257,0.8825726141078838,0.3282828282828283,0.3023255813953488,0.31476997578692495,0.24173332627006408,0.2506729364198684,65,2062,133,150,0.40476509891604984,0.001,24.64669664390385
37,2,7,0.803047520661157,0.8281686989596152,0.7647727272727273,0.7952091949084269,0.6060950413223141,0.6060950413223141,7403,8144,1536,2277,0.4203286995079892,0.41862483487641516,0.0017038640323718472,0.8887966804979253,0.3413173652694611,0.2651162790697674,0.29842931937172773,0.2150023838533665,0.23907588270637717,57,2085,110,158,0.34096945694868,0.001,24.725330564193428
